4.30E+78,8.64E+80
4.01E+79,3.46E+80
6.00E+80,6.95E+80
4.97E+80,4.97E+80
5.91E+78,4.66E+80
1.00E+80,1.95E+80
9.07E+78,2.90E+80
6.58E+74,8.94E+80
5.03E+80,5.63E+80
6.07E+79,1.64E+80
4.08E+78,9.74E+80
6.03E+76,4.32E+80
4.30E+78,2.54E+80
8.07E+78,9.58E+80
6.54E+79,8.65E+80
5.71E+78,8.66E+80
2.00E+80,2.68E+80
4.08E+79,9.48E+80
5.01E+79,6.52E+80
7.00E+80,7.13E+80
6.71E+79,9.67E+80
1.41E+78,2.51E+80
2.06E+80,2.57E+80
4.50E+78,9.65E+80
1.40E+80,1.43E+80
5.90E+80,5.98E+80
1.00E+80,1.57E+80
9.00E+80,9.27E+80
3.08E+80,3.98E+80
1.70E+80,1.76E+80
4.03E+78,9.55E+80
8.32E+79,1.83E+80
8.03E+80,8.64E+80
7.05E+79,2.76E+80
8.30E+80,8.31E+80
6.03E+79,1.68E+80
5.04E+79,7.51E+80
1.01E+79,3.19E+80
7.80E+79,5.78E+80
5.60E+79,9.56E+80
1.85E+75,6.33E+80
2.05E+80,2.86E+80
1.04E+80,1.24E+80
8.50E+80,8.51E+80
6.15E+79,7.61E+80
6.09E+80,6.39E+80
7.01E+77,5.39E+80
6.81E+80,6.88E+80
6.01E+80,6.55E+80
6.74E+76,1.93E+80
6.37E+79,9.64E+80
3.40E+77,8.51E+80
8.07E+78,1.58E+80
8.72E+79,1.87E+80
1.07E+80,1.27E+80
7.04E+77,9.26E+80
5.00E+80,5.50E+80
6.00E+80,6.12E+80
9.00E+77,5.39E+80
7.50E+78,2.88E+80
1.04E+78,2.92E+80
5.07E+80,5.37E+80
8.07E+80,8.27E+80
4.00E+79,6.44E+80
2.83E+78,5.63E+80
4.32E+80,4.32E+80
2.00E+79,3.25E+80
3.00E+78,7.44E+80
4.00E+80,4.17E+80
4.03E+78,7.84E+80
2.30E+79,8.24E+80
3.10E+79,8.32E+80
1.50E+79,8.16E+80
6.04E+80,6.54E+80
4.80E+76,2.66E+80
9.00E+80,9.19E+80
2.08E+78,1.43E+80
